jugador,partidos,goles,asistencias
Lionel Messi,778,672,305
Xavi Hernández,767,85,184
Andrés Iniesta,674,57,138
Luis Suárez,283,198,113
Dani Alves,408,22,105
Neymar Jr,186,105,76
Ronaldinho,207,94,70
Cesc Fàbregas,151,42,50
Pedro Rodríguez,321,99,46
Ousmane Dembélé,185,40,43
Ivan Rakitić,310,35,42
Samuel Eto'o,199,130,40
Alexis Sánchez,141,47,35
Thierry Henry,121,49,27
Raphinha,80,20,25
David Villa,119,48,24
Robert Lewandowski,95,59,19
Antoine Griezmann,102,35,17
Gerard Piqué,616,53,15
Ansu Fati,112,29,10
