jugador,partidos,goles,asistencias
Lionel Messi,778,672,305
Luis Suárez,283,198,113
Samuel Eto'o,199,130,40
Neymar Jr,186,105,76
Pedro Rodríguez,321,99,46
Ronaldinho,207,94,70
Xavi Hernández,767,85,184
Robert Lewandowski,95,59,19
Andrés Iniesta,674,57,138
Gerard Piqué,616,53,15
Thierry Henry,121,49,27
David Villa,119,48,24
Alexis Sánchez,141,47,35
Cesc Fàbregas,151,42,50
Ousmane Dembélé,185,40,43
Ivan Rakitić,310,35,42
Antoine Griezmann,102,35,17
Ansu Fati,112,29,10
Dani Alves,408,22,105
Raphinha,80,20,25
